operation,n,median_us,p98_us,p999_us
ML-KEM-768 KeyGen,10000,2348.3,2970.4,3200.0
ML-KEM-768 Encaps,10000,3223.6,6605.4,7000.0
ML-KEM-768 Decaps,10000,4553.0,10715.8,11000.0
HKDF-SHA384 (transcript),10000,9.4,10.2,12.3
HMAC key confirm,10000,3.6,3.8,4.0
EP-HS full (CPU),500,20185.3,29793.4,35000.0
ML-DSA-65 Sign,500,34476.5,126444.1,130000.0
ML-DSA-65 Verify,10000,8188.9,8515.0,9000.0
AuthBind sign,300,36723.3,112314.6,115000.0
AuthBind verify,10000,8220.9,8527.5,8600.0
DPR verify fast,10000,0.2,0.2,0.3
DPR verify slow,10000,8210.9,9802.3,10000.0
